,lgbm_gain,xgb_gain,cat_pvc,lgbm_gain_norm,xgb_gain_norm,cat_pvc_norm,consensus
finishedsquarefeet12,20932.98756260872,11.04606113433838,2.6268890923922537,0.029321325468481013,0.008412322776876124,0.026268890923922532,0.021334179723093222
tax_per_sqft,18166.745205116273,7.952142715454102,2.8535611832216814,0.025446585073869796,0.006056094609347001,0.02853561183221681,0.02001276383847787
te_regionidzip,15540.430617141725,9.814544868469238,3.077522274318084,0.021767844780048853,0.00747443983313077,0.030775222743180834,0.020005835785453487
lotsizesquarefeet,21605.837459135055,7.4296950340271,2.0582951316261795,0.030263802061871,0.005658215358386498,0.020582951316261793,0.018834989578839764
taxamount,15713.460672092438,8.918794441223145,2.729931146776058,0.022010212026571344,0.006792265288750055,0.027299311467760577,0.018700596261027325
age_x_sqft,17074.066455316544,8.389899826049804,2.3942055533754716,0.023916044382554444,0.006389476261631718,0.02394205553375471,0.01808252539264696
calculatedfinishedsquarefeet,15521.500543880462,8.131172466278077,2.4908383130270435,0.021741328983506406,0.006192437875265853,0.024908383130270433,0.017614049996347563
dist_regionidzip_centroid_km,19285.570533275604,7.367661380767823,1.9916132924068035,0.027013749889270446,0.005610972535094165,0.019916132924068033,0.017513618449477547
effective_tax_rate,16584.445993995665,8.111659622192382,2.2696987548007197,0.023230221546254617,0.00617757752452658,0.022696987548007194,0.017368262206262797
taxrate_x_land,16686.184983491898,8.086923122406006,2.0980474197899373,0.023372729729328398,0.006158739006611244,0.02098047419789937,0.01683731431127967
structuretaxvaluedollarcnt,17455.12511835098,7.52851152420044,1.8664278179589633,0.024449802167868132,0.005733470800204758,0.01866427817958963,0.016282517049220843
space_efficiency,15716.128519821166,8.270275783538818,2.0493394933488656,0.02201394894330721,0.006298374461158345,0.020493394933488653,0.016268572779318067
grid_density,13161.436782550812,7.645796394348144,2.4271039674941375,0.018435532452297353,0.005822791162687578,0.02427103967494137,0.016176454429975434
days_since_prev_sale,7393.010147571564,15.733264541625976,2.5383435580334037,0.010355562295175506,0.01198194524260753,0.025383435580334034,0.015906981039372357
lot_to_building,15048.964016723632,7.685367202758789,1.8347152307503585,0.02107943601351964,0.005852927010103581,0.018347152307503584,0.015093171777042268
dist_regionidcity_centroid_km,16957.71104941368,7.519364261627198,1.4535561559521422,0.02375306264302534,0.005726504540978495,0.01453556155952142,0.014671709581175085
taxrate_x_structure,12941.130077981948,7.874318313598633,1.6842990678370189,0.01812694369647682,0.005996826062815937,0.016842990678370185,0.013655586812554313
sqft_per_room,16010.791566562651,7.216899776458741,1.2377761771371611,0.022426690367396824,0.005496157374976582,0.01237776177137161,0.013433536504581673
landtaxvaluedollarcnt,12730.970875501633,7.496669673919678,1.6683527188954983,0.01783256878426272,0.00570922107723862,0.01668352718895498,0.013408439016818771
yearbuilt,12649.35712966919,7.510343360900879,1.4859620470603754,0.017718250500878774,0.005719634514846551,0.014859620470603751,0.012765835162109692
te_regionidcity,8717.866250181198,9.224559211730956,1.564064021985758,0.012211319237051757,0.007025125845289353,0.015640640219857577,0.011625695100732894
te_regionidneighborhood,8500.468649959565,9.000838279724121,1.5850895666172768,0.011906805331757541,0.006854747221715153,0.015850895666172767,0.011537482739881819
home_age,6868.88447008133,7.946602535247803,1.870890643607445,0.009621407195235052,0.00605187538734826,0.018708906436074448,0.011460729672885922
cos_month,8200.04685921669,9.422946357727051,1.5348501345611223,0.011485997500202228,0.0071762110770842765,0.01534850134561122,0.011336903307632575
months_since_2016,8614.643738508224,8.697083473205566,1.4579704501432793,0.0120667330497536,0.006623417388719919,0.014579704501432792,0.011089951646635435
structure_ratio,11218.834322404862,7.363396549224854,1.14261701369361,0.015714483733405702,0.005607724577374926,0.011426170136936099,0.01091612614923891
taxvaluedollarcnt,10674.062197494506,7.365228366851807,1.1770535972449558,0.01495140867147881,0.00560911963041319,0.011770535972449557,0.01077702142478052
rooms_per_1k_sqft,7721.538220405579,7.968590545654297,1.3464860010639448,0.010815739253685985,0.006068620744676198,0.013464860010639446,0.01011640666966721
bath_per_bed,8662.360114765168,7.599092674255371,1.203682467008181,0.012133570494443314,0.005787223120511898,0.012036824670081808,0.009985872761679006
regionidzip__bedroomcnt__mean,8671.62173910141,7.902574253082276,1.05166920182614,0.012146543468354351,0.006018344872137149,0.010516692018261399,0.009560526786250967
regionidzip__taxvaluedollarcnt__mean,6674.814746570587,9.079057312011718,1.0847410978612853,0.009349569192674875,0.006914316306015497,0.01084741097861285,0.009037098825767741
regionidzip__lotsizesquarefeet__median,8107.916733503342,8.195046615600585,0.929005522391973,0.011356948677457096,0.0062410823608127376,0.009290055223919728,0.008962695420729853
dist_la_cbd_km,7737.948504543305,7.85647554397583,0.9217390391571062,0.010838725522645129,0.005983237586754199,0.009217390391571061,0.008679784500323464
land_ratio,5858.785381221771,7.727286720275879,1.1311181422929617,0.008206537767195501,0.00588485155838518,0.011311181422929615,0.008467523582836764
regionidzip__bathroomcnt__mean,7581.549929094314,8.095462703704834,0.8613940134159888,0.010619654378603655,0.006165242475439766,0.008613940134159887,0.008466278996067769
regionidzip__lotsizesquarefeet__mean,7745.420680952072,8.117293739318848,0.7690380475759119,0.01084919197497469,0.006181868285844496,0.007690380475759118,0.0082404802455261
geo_cluster_50__taxvaluedollarcnt__mean,5110.96065120697,11.265927124023438,0.8484034447291331,0.007159042170278886,0.008579765601100436,0.00848403444729133,0.008074280739556884
regionidzip__taxvaluedollarcnt__median,7031.749413633346,8.146382713317871,0.7816323884005987,0.00984953593237836,0.006204021507300716,0.007816323884005986,0.00795662710789502
te_propertycountylandusecode,4821.953746080399,8.1171368598938,1.0921818690429057,0.006754223436091544,0.006181748811550038,0.010921818690429056,0.00795259697935688
geo_cluster_50__taxvaluedollarcnt__median,5639.283275318146,9.528038787841798,0.8564589392893452,0.007899076031551346,0.0072562460717108465,0.008564589392893451,0.007906637165385215
te_propertylandusetypeid,4079.1750131607055,9.365167617797852,1.0754181742699906,0.005713795885372163,0.007132208658121137,0.010754181742699905,0.007866728762064401
regionidzip__calculatedfinishedsquarefeet__median,7072.598220825195,8.128379249572754,0.7451521912881252,0.00990675381239138,0.006190310651794502,0.007451521912881251,0.00784952879235571
regionidzip__calculatedfinishedsquarefeet__mean,6892.747395086289,8.2135440826416,0.6562623422857035,0.009654832552633639,0.006255169433246179,0.006562623422857033,0.007490875136245617
x,6971.236906814575,7.925365829467774,0.6530783221712363,0.009764774648207141,0.0060357021993162115,0.006530783221712362,0.007443753356411904
regionidcity__bedroomcnt__mean,6228.2997902870175,8.387950325012207,0.6329493994564351,0.008724125245862368,0.006387991584715424,0.00632949399456435,0.007147203608380714
sin_month,4415.92465558052,7.708141040802002,0.8989250131893849,0.006185488988769559,0.005870270828335064,0.008989250131893847,0.007015003316332823
poolcnt,2195.191930294037,19.66606788635254,0.2966809833332525,0.003074856699810369,0.014977041028468351,0.0029668098333325245,0.007006235853870415
regionidneighborhood,6561.403642320633,7.905292797088623,0.5806417870197156,0.009190711605361699,0.0060204152272969125,0.005806417870197155,0.0070058482342852555
propertycountylandusecode__bedroomcnt__mean,3967.5749867916106,9.995549392700196,0.7751484231736878,0.005557475117222263,0.007612287022584781,0.007751484231736877,0.006973748790514641
trans_month,5610.495181131363,7.698674011230469,0.6683939101072449,0.007858751874440791,0.005863061044908608,0.006683939101072448,0.0068019173401406155
regionidcity__lotsizesquarefeet__median,5908.193549871445,8.195502281188965,0.5711773991435869,0.00827574494507423,0.006241429380982293,0.005711773991435868,0.006742982772497463
geo_cluster_50__lotsizesquarefeet__median,5099.35674700737,8.36931552886963,0.6592167653120649,0.007142788310158637,0.006373799926881363,0.006592167653120647,0.006702918630053549
propertycountylandusecode__bathroomcnt__mean,3979.8659879684446,8.815964317321777,0.7584930452265313,0.005574691410155202,0.0067139531933411885,0.007584930452265311,0.006624525018587234
censustractandblock,4227.831360578537,8.872377586364745,0.7171604892353999,0.005922022309457929,0.006756915713855668,0.007171604892353998,0.006616847638555866
regionidzip,5018.749207448959,8.055896472930907,0.6552606199465971,0.0070298794434459164,0.006135110114203783,0.0065526061994659705,0.006572531919038557
geo_cluster_50__bedroomcnt__mean,5071.410136556626,7.985788726806641,0.6376247608442684,0.007103642839006166,0.006081718323013779,0.006376247608442683,0.006520536256820877
geo_cluster_50__lotsizesquarefeet__mean,4772.92522482872,8.029658126831055,0.6595637973791459,0.006685548039206168,0.006115127838726673,0.006595637973791459,0.0064654379505747666
garagetotalsqft,6404.109472084046,7.428136348724365,0.4718672872382818,0.008970385980746133,0.005657028314089467,0.004718672872382817,0.006448695722406139
geo_cluster_50__bathroomcnt__mean,4409.005370473862,8.628777885437012,0.6161672415918437,0.006175796984223397,0.006571398063026794,0.006161672415918436,0.006302955821056209
geo_cluster_50__calculatedfinishedsquarefeet__mean,4282.199849176407,8.59485683441162,0.5969876721399243,0.005998177523549543,0.006545564888043776,0.005969876721399242,0.006171206377664187
regionidcity__lotsizesquarefeet__mean,5226.59155087471,8.292131996154785,0.4360677099202276,0.007321009076972473,0.006315019445553188,0.004360677099202275,0.005998901873909311
bedroomcnt,2252.478062582016,7.00202522277832,0.946698785595878,0.0031550987256856737,0.005332515866921035,0.009466987855958777,0.005984867482855163
y,5150.472359657288,7.677359676361084,0.4826143051144179,0.00721438714479924,0.0058468287370737095,0.004826143051144178,0.005962452977672376
regionidcity__taxvaluedollarcnt__mean,4639.08388710022,8.568432235717774,0.4794727589481257,0.006498073345833485,0.006525440768617075,0.004794727589481256,0.005939413901310604
regionidcity,4396.735451412201,7.831782817840576,0.5564668550621196,0.00615861022150246,0.00596443240543531,0.0055646685506211945,0.005895903725852987
regionidcity__taxvaluedollarcnt__median,4974.080628728867,8.30789213180542,0.4154350740517585,0.006967311120078362,0.006327021854963033,0.004154350740517584,0.005816227905186326
latitude,5756.905836582184,6.699748802185058,0.4235480907467647,0.00806383270524372,0.00510231192481497,0.004235480907467646,0.005800541845842112
regionidcity__bathroomcnt__mean,4909.339476823807,8.394408226013184,0.4086314778920516,0.006876626673793043,0.006392909713179555,0.0040863147789205155,0.0057852837219643715
longitude,5769.783602523804,6.643637180328369,0.3919285816440798,0.008081870893311801,0.005059579129038102,0.0039192858164407976,0.005686911946263567
propertycountylandusecode__lotsizesquarefeet__median,3467.214444732666,8.14574909210205,0.5965699547993479,0.004856608398536479,0.006203538961882857,0.005965699547993478,0.0056752823028042715
propertycountylandusecode__taxvaluedollarcnt__median,3735.7469021320344,7.617935848236084,0.5809750561092308,0.005232748094731696,0.0058015734721656494,0.005809750561092308,0.005614690709329884
propertycountylandusecode__calculatedfinishedsquarefeet__median,3190.7785766124725,8.37741641998291,0.5793543866098276,0.004469398210020791,0.006379969303457906,0.0057935438660982755,0.0055476371265256565
propertycountylandusecode__calculatedfinishedsquarefeet__mean,2842.9744697093965,9.418313789367676,0.5364205545196363,0.003982220859569599,0.007172683062903379,0.005364205545196362,0.005506369822556446
geo_cluster_50__calculatedfinishedsquarefeet__median,4058.099398088455,8.250741958618164,0.4438829311506674,0.005684274778213732,0.006283498132093978,0.004438829311506674,0.005468867407271461
propertycountylandusecode__lotsizesquarefeet__mean,3566.1543766021728,8.104084491729736,0.5230270045486134,0.004995195876100223,0.006171808550251159,0.0052302700454861335,0.005465758157279173
regionidcity__calculatedfinishedsquarefeet__median,4719.764282369613,8.155608463287354,0.3453330983020387,0.006611084263245255,0.006211047539988583,0.003453330983020386,0.005425154262084741
geo_cluster_50,3287.2291898727417,7.776558017730712,0.5672357185459462,0.004604498840763558,0.005922374984408691,0.005672357185459461,0.0053997436702105705
regionidcity__calculatedfinishedsquarefeet__mean,4354.54948425293,8.489353561401368,0.3539810118546947,0.0060995193502362335,0.006465217008760352,0.0035398101185469466,0.005368182159181178
propertycountylandusecode__taxvaluedollarcnt__mean,3315.215301609039,8.135901546478271,0.4712365478346371,0.004643699642290953,0.006196039389742185,0.00471236547834637,0.005184034836793169
poolcnt__isna,663.1251718521119,15.211484336853028,0.2740674111776174,0.0009288549439999311,0.011584574320271287,0.0027406741117761736,0.005084701125349131
buildingqualitytypeid,3791.1200202465056,6.364135265350342,0.5039298667932599,0.00531031051689351,0.0048467195135647725,0.005039298667932598,0.005065442899463628
taxdelinquencyyear,1956.109512424469,9.719188690185549,0.4963711916240637,0.002739968363055854,0.007401819652893122,0.004963711916240636,0.005035166644063204
finishedsquarefeet15,2822.410824012756,7.992340850830078,0.4524887543996795,0.003953416879894632,0.006086708208683335,0.004524887543996795,0.004855004210858254
rawcensustractandblock,3206.7783715248106,7.522526359558105,0.4183136858748564,0.0044918094971173154,0.005728912692456508,0.004183136858748563,0.004801286349440795
fullbathcnt,690.2047325134278,10.817505645751954,0.4074589713078209,0.0009667859182251394,0.008238262311427613,0.0040745897130782084,0.00442654598091032
geo_grid,3288.9997827529905,8.718256378173828,0.1920117783754607,0.004606978951639212,0.00663954198811793,0.0019201177837546068,0.004388879574503917
calculatedbathnbr,1563.654976940155,7.958442687988281,0.489439598212517,0.002190248112561278,0.006060892464600421,0.004894395982125169,0.004381845519762289
bathroomcnt,2000.547125005722,6.9468690872192385,0.4813777209165413,0.0028022131667485954,0.005290510738594727,0.004813777209165412,0.004302167038169579
geo_cluster_20,2261.869404602051,7.724924278259277,0.3779345461691888,0.00316825339819153,0.005883052398979522,0.0037793454616918878,0.004276883752954313
pooltypeid2,779.7609280586242,13.713578605651856,0.0747577658526844,0.001092229376758986,0.010443817778464256,0.0007475776585268439,0.004094541604583362
lat,1598.0982602119443,7.636665630340576,0.4101524531912586,0.0022384936253431794,0.005815837468235139,0.004101524531912586,0.004051951875163635
propertyzoningdesc,8549.020300579072,0.0,0.0,0.011974812764790628,0.0,0.0,0.003991604254930209
lon,1559.4798038482666,7.74711275100708,0.356489872326047,0.002184399849920871,0.005899950421940864,0.0035648987232604697,0.0038830829983740683
taxdelinquencyyear__isna,11.120170211791992,10.335608863830569,0.3352679516832177,1.557628260512979e-05,0.007871265313551284,0.003352679516832177,0.0037465070376628638
missing_frac,2732.27651014328,7.426561641693115,0.1581433407542412,0.003827163637497169,0.005655829068162363,0.0015814334075424116,0.003688142037733981
z,336.5863865852356,8.766162490844726,0.3750656337257179,0.0004714644271300444,0.006676025733579033,0.003750656337257178,0.0036327154993220853
yardbuildingsqft17,2255.1027703762056,7.665729618072509,0.1803857383409212,0.0031587752153058447,0.005837971660958746,0.0018038573834092118,0.003600201419891267
heatingorsystemtypeid,1480.0096893787384,7.232940769195556,0.3073428467949298,0.0020730842011435933,0.005508373676056442,0.0030734284679492974,0.0035516287817164444
pooltypeid2__isna,163.54686031341552,12.507288551330566,0.0858247968719263,0.00022908391390646972,0.009525146301267698,0.0008582479687192629,0.0035374927279644766
propertycountylandusecode__bedroomcnt__median,294.2085415840149,9.910966491699218,0.221414738310391,0.0004121047880810457,0.007547871421768227,0.00221414738310391,0.0033913745309843944
trans_qtr,424.1698533058167,7.594717597961425,0.3352430954423802,0.0005941446382413912,0.005783891203957162,0.0033524309544238013,0.0032434889322074515
propertycountylandusecode__bathroomcnt__median,284.2934189796448,9.80879077911377,0.1841268701634772,0.0003982164438553064,0.007470057704844814,0.0018412687016347718,0.0032365142834449635
finishedfloor1squarefeet,2536.7491238594057,7.104995346069336,0.072543833018125,0.003553283852584307,0.005410934581335532,0.00072543833018125,0.0032298855880336964
taxdelinquencyflag__isna,53.81752796173096,11.109138870239258,0.1053820998029161,7.538347063720974e-05,0.008460360739728166,0.0010538209980291609,0.0031965217361315124
finishedsquarefeet50,1624.4073665618896,7.860865306854248,0.1312641356870253,0.00227534540618738,0.005986580688136501,0.0013126413568702528,0.003191522483731378
propertylandusetypeid,374.7327455043793,8.774815559387207,0.2362111297160085,0.0005248969246156692,0.006682615630620567,0.002362111297160085,0.0031898746174654404
propertycountylandusecode,669.0926274299621,7.596862506866455,0.2610246657651457,0.0009372136986542068,0.0057855246971830875,0.002610246657651457,0.0031109950178295834
hashottuborspa,577.1071276664734,10.05650806427002,0.0758195057479663,0.000808367456860997,0.0076587111746022635,0.0007581950574796629,0.0030750912296476415
assessmentyear,757.5196238517761,7.649363803863525,0.2319148423371897,0.001061075461554958,0.00582550798635492,0.0023191484233718966,0.003068577290427258
numberofstories,683.8559622764587,7.470294761657715,0.2248607612015283,0.000957893047205845,0.005689134797390892,0.0022486076120152828,0.0029652118188706732
finishedsquarefeet6,579.2359660625458,6.783438396453858,0.2696040361043239,0.0008113493706128847,0.005166047212126244,0.0026960403610432385,0.0028911456479274555
non_null_count,606.718694114685,7.732592964172364,0.1912831349399951,0.0008498450708357201,0.005888892622059116,0.0019128313493999508,0.002883856347431596
trans_year,143.0501244544983,8.830395698547363,0.1709353665421082,0.00020037365640675615,0.006724943666371289,0.0017093536654210818,0.0028782236627330426
data_quality_score,160.59158058166503,7.371802520751953,0.2503591860001358,0.00022494438443864336,0.005614126293324096,0.0025035918600013573,0.002780887512588032
hashottuborspa__isna,110.276762008667,9.566641235351565,0.0862680416039683,0.0001544672407985411,0.007285644446794983,0.0008626804160396828,0.0027675973678777353
regionidzip__bedroomcnt__median,436.45104732513425,8.07033052444458,0.1299659677664274,0.0006113471940593289,0.0061461026208388956,0.001299659677664274,0.0026857031641874993
roomcnt,834.5053935527801,7.241032791137696,0.1119310550376423,0.0011689112304863252,0.005514536298159196,0.0011193105503764227,0.0026009193596739813
poolsizesum,1114.3851189613342,7.006516551971435,0.0855376568736592,0.00156094531048511,0.005335936317922545,0.0008553765687365919,0.0025840860657147494
regionidcity__bathroomcnt__median,242.57939348220825,8.724660205841065,0.074669906525731,0.0003397866323172908,0.006644418936080567,0.0007466990652573098,0.0025769682112183894
regionidzip__bathroomcnt__median,427.59928159713746,7.909401702880859,0.0999081096094105,0.0005989483186907241,0.0060235444370091975,0.0009990810960941049,0.0025405246172646753
regionidcity__bedroomcnt__median,226.83387031555176,8.54376153945923,0.075645118660241,0.0003177315096043861,0.0065066523645395365,0.0007564511866024098,0.0025269450202487775
geo_cluster_50__bedroomcnt__median,114.36208791732788,8.862977123260498,0.0554611365515479,0.00016018965238715887,0.006749756625297012,0.0005546113655154789,0.00248818588106655
geo_cluster_50__bathroomcnt__median,205.08743467330933,7.988732242584229,0.1025825851279534,0.0002872707683777237,0.006083960009395806,0.0010258258512795338,0.002465685543017688
pooltypeid7__isna,41.39712390899658,8.993379878997803,0.0222376321051455,5.798592006823209e-05,0.006849067145030258,0.00022237632105145497,0.002376476462049982
typeconstructiontypeid,31.941084003448488,9.08734874725342,0.0034418828739592,4.474062372033865e-05,0.006920630794835402,3.4418828739591995e-05,0.002333263415765111
censustractandblock__isna,18.62880229949951,8.969015789031982,0.0109411258347985,2.609379925717308e-05,0.006830512242385351,0.00010941125834798499,0.002322005766663503
fireplaceflag__isna,17.08573799133301,8.987346172332764,0.0095097169101535,2.3932392976143025e-05,0.0068444720692480395,9.5097169101535e-05,0.0023211672104419055
fireplacecnt,675.2139374256134,7.016881275177002,0.0498053598228123,0.0009457879607913782,0.005343829755776801,0.0004980535982281229,0.002262557104932101
garagecarcnt,586.4106198787689,6.715208625793457,0.083900990459339,0.0008213990760856443,0.005114085626289709,0.0008390099045933899,0.0022581648689895813
pooltypeid7,271.98054962158204,7.822945022583008,0.0404348868538272,0.0003809695196492495,0.005957701826504193,0.0004043488685382719,0.0022476734048972385
airconditioningtypeid,758.6045474052429,6.47635669708252,0.061072982384677,0.0010625951393613139,0.004932183725172253,0.00061072982384677,0.0022018362294601124
unitcnt,149.41134824752808,7.215930080413818,0.0879339237680541,0.00020928397141341292,0.005495418885842207,0.0008793392376805409,0.0021946806983120536
pooltypeid10,78.95507593154908,8.358298778533936,0.0020602349686476,0.00011059422224627132,0.006365409926260416,2.0602349686475994e-05,0.002165535499397721
finishedsquarefeet12__isna,19.097329998016356,8.47562084197998,0.0,2.6750076967085344e-05,0.006454758613955904,0.0,0.00216050289697433
yardbuildingsqft17__isna,31.08222007751465,8.271436786651611,0.0051827824084599,4.353759292360583e-05,0.006299258643566083,5.182782408459899e-05,0.0021315413535247627
heatingorsystemtypeid__isna,42.78856773376465,7.465364742279053,0.0431196774012965,5.9934947990553576e-05,0.005685380254137403,0.0004311967740129649,0.0020588373253803073
basementsqft,295.23352432250977,6.560842990875244,0.0658447973517776,0.00041354050538537667,0.004996525753064618,0.000658447973517776,0.0020228380773225905
fireplacecnt__isna,61.97354612350464,7.410186004638672,0.0313558528199089,8.680779611072115e-05,0.005643357912797243,0.000313558528199089,0.002014574745702351
threequarterbathnbr,460.99997959136965,6.7908941268920895,0.0211198084820938,0.0006457334578799663,0.005171725255206126,0.00021119808482093796,0.00200955226596901
fireplaceflag,50.20559186935425,7.553417491912842,0.0062572948944124,7.032414724062465e-05,0.005752438379409607,6.257294894412399e-05,0.0019617784918647854
architecturalstyletypeid,117.21239862442016,7.059623432159424,0.0129377183534671,0.0001641821492860838,0.00537638079965961,0.000129377183534671,0.0018899800441601218
threequarterbathnbr__isna,50.3749942779541,7.1076127052307125,0.0172194054877537,7.056143315802391e-05,0.005412927877391088,0.00017219405487753697,0.0018852277884755496
decktypeid,63.3821496963501,7.033388328552246,0.0094149977387329,8.8780860093678e-05,0.005356400993560014,9.4149977387329e-05,0.0018464439436803402
yardbuildingsqft26,120.13592414855955,6.336923408508301,0.0451464734340315,0.0001682771998923251,0.004825995843803271,0.0004514647343403149,0.0018152459260119703
structuretaxvaluedollarcnt__isna,8.709099960327148,6.821373176574707,0.0192159305289724,1.2199040089739752e-05,0.005194937113328617,0.00019215930528972396,0.0017997651529026934
typeconstructiontypeid__isna,8.05905590057373,6.730473327636719,0.0036202507073211,1.1288508165528006e-05,0.005125710729341069,3.620250707321099e-05,0.0017244005815266023
airconditioningtypeid__isna,93.300163936615,6.003096961975098,0.0418251679783127,0.00013068772266098817,0.004571764422707385,0.00041825167978312694,0.0017069012750505
lotsizesquarefeet__isna,12.734839820861817,6.293783950805664,0.0,1.7837988106554222e-05,0.004793142228546169,0.0,0.0016036600722175746
poolsizesum__isna,7.732451820373536,6.1639180183410645,0.0,1.0831026188517252e-05,0.0046942405360490954,0.0,0.0015683571874125374
buildingclasstypeid,3.313498020172119,5.74112024307251,0.0245450169298329,4.6412942060013505e-06,0.004372251429556861,0.00024545016929832897,0.0015407809643537306
decktypeid__isna,7.189346122741699,5.775656700134277,0.0136997614646624,1.0070285330270404e-05,0.004398553277866405,0.000136997614646624,0.0015152070592811
finishedsquarefeet6__isna,7.897760200500488,5.790859794616699,0.0,1.1062577504442539e-05,0.004410131462744985,0.0,0.0014737313467498092
yearbuilt__isna,5.099959945678711,5.71571159362793,0.0007523185669539,7.1436332246512115e-06,0.004352901024208493,7.523185669538999e-06,0.0014558559477008944
finishedsquarefeet15__isna,10.496326065063476,5.406893730163574,0.0037155562762337,1.4702449512116952e-05,0.00411771533085292,3.7155562762336994e-05,0.001389857781042458
numberofstories__isna,12.394222068786622,4.948835372924805,0.0352365752895457,1.73608768514566e-05,0.0037688729059491255,0.00035236575289545696,0.0013795331785653464
finishedsquarefeet13,18.60925588607788,5.249560117721558,0.0053203292171225,2.6066420138546892e-05,0.003997895141971315,5.320329217122499e-05,0.0013590549514270291
regionidneighborhood__isna,34.57008409500122,4.820119380950928,0.0012950892044294,4.8423125661856904e-05,0.0036708469709247392,1.2950892044293999e-05,0.0012440736628769634
buildingqualitytypeid__isna,2.8773359298706054,4.734868717193604,0.0094471176449811,4.030351760806016e-06,0.003605922823597675,9.447117644981098e-05,0.0012348081172694307
propertyzoningdesc__isna,0.0,3.8456513404846193,0.006350166064003,0.0,0.002928723639136428,6.350166064002999e-05,0.0009974084332588194
pooltypeid10__isna,24.677238082885744,3.2075855255126955,0.0079133312030544,3.456598478011585e-05,0.0024427933583643724,7.9133312030544e-05,0.0008521642183916774
garagecarcnt__isna,0.0,3.2236533164978027,0.0069039878124275,0.0,0.002455030068123104,6.903987812427498e-05,0.0008413566487491263
storytypeid,0.0,3.2840692520141603,0.002169361423115,0.0,0.0025010408899218896,2.1693614231149996e-05,0.0008409115013843465
calculatedbathnbr__isna,0.0,2.736253929138184,0.0,0.0,0.0020838424639757027,0.0,0.0006946141546585676
unitcnt__isna,1.6821039199829102,2.0611620903015138,0.0186820067705782,2.35616231854676e-06,0.0015697143613641227,0.00018682006770578196,0.0005862968637961505
garagetotalsqft__isna,0.0,2.192441940307617,0.0060536910151855,0.0,0.001669692847715074,6.0536910151854997e-05,0.0005767432526223097
regionidcounty,0.0,1.5930156707763672,0.0505187570149532,0.0,0.001213189194611071,0.0005051875701495319,0.0005727922549202009
fips,2.59391393661499,1.6537333488464356,0.0221702374053185,3.6333559433519555e-06,0.0012594298137762175,0.00022170237405318496,0.0004949218479242515
yardbuildingsqft26__isna,1.1406200408935547,1.777885627746582,0.0,1.597693179479638e-06,0.0013539801725775166,0.0,0.0004518592885856654
buildingclasstypeid__isna,0.0,1.4789904594421386,0.0113062704333919,0.0,0.0011263512828179546,0.000113062704333919,0.0004131379957172912
calculatedfinishedsquarefeet__isna,2.142020034790039,1.3568081855773926,0.0,3.000377581663198e-06,0.0010333012161142922,0.0,0.00034543386456531845
basementsqft__isna,0.0,1.283566665649414,0.0033861533306211,0.0,0.0009775228441851508,3.3861533306210994e-05,0.000337128125830454
storytypeid__isna,0.0,1.218775463104248,0.0003592393458011,0.0,0.0009281799605741286,3.5923934580109995e-06,0.0003105907846773799
architecturalstyletypeid__isna,2.1386999130249023,1.2072506904602052,0.0001221193755021,2.9957270094226428e-06,0.0009194030665996406,1.2211937550209998e-06,0.00030787332912136136
finishedsquarefeet13__isna,0.0,0.8521470069885254,3.249428402830588e-05,0.0,0.000648967590252773,3.2494284028305875e-07,0.000216430844364352
taxdelinquencyflag,397.8421265602112,0.0,0.0,0.0005572667753733101,0.0,0.0,0.00018575559179110336
regionidcity__isna,0.0,0.4189094543457031,0.0,0.0,0.0003190278870796945,0.0,0.00010634262902656484
fullbathcnt__isna,0.0,0.0,0.0039387943479062,0.0,0.0,3.9387943479061994e-05,1.3129314493020665e-05
regionidcounty__isna,0.0,0.0,8.8303371589775e-05,0.0,0.0,8.830337158977499e-07,2.943445719659166e-07
roomcnt__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finishedsquarefeet50__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fips__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latitude__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longitude__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taxvaluedollarcnt__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regionidzip__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assessmentyear__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
propertylandusetypeid__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rawcensustractandblock__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finishedfloor1squarefeet__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taxamount__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landtaxvaluedollarcnt__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bathroomcnt__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bedroomcnt__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
propertycountylandusecode__isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
