,mean_gain,std_gain,mean_split,std_split,gain_stability
lotsizesquarefeet,128834.58384242802,17159.885680044346,16762.0,2701.3843673198376,0.1331931626451367
finishedsquarefeet12,125137.64870584011,13854.856359598445,12334.0,1966.277828792259,0.11071693053915227
dist_regionidzip_centroid_km,118489.63556498886,19809.119159745132,16142.8,2964.986290018893,0.16718018470804236
tax_per_sqft,109402.66556501985,14775.750473454083,13904.2,2203.2239332396516,0.13505841377028657
structuretaxvaluedollarcnt,106043.10536375642,14100.537559511778,13651.8,2273.1716169264473,0.13296986646271633
dist_regionidcity_centroid_km,103829.5783323884,14047.226544155417,14010.8,2244.629969504996,0.1352911835891777
age_x_sqft,103345.93070622087,13098.297797518113,13139.0,2053.766783254613,0.12674226946343034
effective_tax_rate,97304.86052788496,9481.3983097505,12247.8,1844.6676394407748,0.09744013051673213
taxrate_x_land,95926.77329880596,11594.672049286533,12135.6,2151.9459333356867,0.12087003086373645
taxamount,95849.68615156412,10534.965621032485,11385.8,1742.4599564982836,0.10991132098620306
lot_to_building,94893.9579037249,14001.89133953723,12449.2,2159.5765094110466,0.1475530333948283
te_regionidzip,94759.11792029142,9402.485013992873,10612.4,1517.061732428842,0.09922512176507357
space_efficiency,94015.52527148723,15080.941161187488,12040.8,2309.401697409959,0.16040905071409084
sqft_per_room,92007.73550933003,15328.975779876806,12373.8,2261.2835293257676,0.1666052935116603
calculatedfinishedsquarefeet,91390.02606313229,10505.71894155876,9684.4,1472.368941536054,0.11495476469500351
grid_density,87478.43962403535,10827.223977480826,11644.6,1717.8008615669046,0.12377020010888178
landtaxvaluedollarcnt,74894.97386804223,11595.278892761715,9820.2,1730.0126300117004,0.15482052124338727
taxrate_x_structure,74678.3121194005,13121.533750702421,9895.6,1945.3465758059667,0.17570742265466727
yearbuilt,73018.09901004285,8439.129517438105,9410.4,1386.1519757948622,0.11557585902470892
taxvaluedollarcnt,66364.1947393775,9840.29391927816,8645.6,1526.6731149791037,0.14827715393701438
rooms_per_1k_sqft,62983.760989904404,11045.675625083953,8398.2,1643.9837894577915,0.17537338913204467
structure_ratio,62002.33436253667,6174.123148443954,8411.0,1056.5725247232203,0.09957888218114438
regionidzip__bedroomcnt__mean,56582.03155043721,7218.313969813648,7516.6,1166.8891549757413,0.1275725485992487
te_regionidcity,53554.29546872377,5662.757670360406,6242.0,877.2827366362568,0.1057386269541433
propertyzoningdesc,51685.96962741613,5979.659154964735,6671.8,928.4455826810745,0.11569211525039762
home_age,50296.04984873533,6973.905831910296,6596.2,1110.0525663228746,0.13865712820157516
regionidzip__lotsizesquarefeet__median,49939.06938832998,7340.098505332275,6422.8,1089.791126776136,0.14698108305250232
months_since_2016,49901.03745000363,7220.740037238163,5812.0,1027.9768966275458,0.14470120074099163
bath_per_bed,49403.37122685909,7253.859531472807,6542.0,1124.07450820664,0.14682924163538943
regionidzip__lotsizesquarefeet__mean,49084.37767711878,6815.581200842743,6381.4,1032.3566728606932,0.13885438755432186
dist_la_cbd_km,48786.40546499342,6720.650104254888,6449.2,1080.7898500633692,0.13775661560218652
regionidzip__bathroomcnt__mean,47751.98872619867,7098.924630976088,6194.2,1049.045137255781,0.14866238706158524
land_ratio,46420.25594752431,9769.371319819209,6183.4,1436.0902826772417,0.21045492146490688
regionidzip__taxvaluedollarcnt__median,44407.381178307536,6334.732581693248,5517.6,886.2044346537655,0.14265044264277088
cos_month,43957.30275554657,8450.083108414081,4557.0,868.3746311356637,0.19223388558220672
regionidzip__calculatedfinishedsquarefeet__mean,43380.28723372221,5589.918132397446,5589.2,865.2292759725598,0.12885848593576774
x,42666.80966575742,6864.181857047353,5662.6,1013.126004009373,0.1608787230828427
te_regionidneighborhood,42267.82168049812,5814.027987960951,5124.2,806.7541137174325,0.13755210836053328
regionidzip__calculatedfinishedsquarefeet__median,42262.93465977311,5601.591964548927,5452.4,860.8244884992527,0.1325414813155257
regionidzip__taxvaluedollarcnt__mean,42049.175315189364,6089.865985914123,5043.4,820.3312135960695,0.14482723954190943
regionidcity__bedroomcnt__mean,40036.597476780415,5715.552525512033,5163.2,848.7123776639528,0.14275819839149398
regionidneighborhood,38471.81261606216,5316.72213755418,4975.2,813.8941577379702,0.13819785905624427
days_since_prev_sale,36611.0206196785,9520.341550289737,1617.2,358.61288320415935,0.2600403208964334
garagetotalsqft,35627.621362811326,6005.058930046412,4787.6,892.8834190419262,0.1685506553719273
trans_month,35192.75800631046,5074.187658608739,4191.6,644.6253175294933,0.14418272241401023
geo_cluster_50__bedroomcnt__mean,34812.51145272255,4576.2269555261455,4592.4,707.946890663417,0.13145351382475287
regionidcity__lotsizesquarefeet__median,34801.55665096045,4241.621839912148,4436.2,680.9094653476334,0.12188023318761146
latitude,34216.51056494117,5724.8934988182855,4493.8,820.5124618188319,0.16731377350566068
longitude,33602.32769646049,5578.283099995006,4475.0,818.2777645763082,0.16600882981630277
geo_cluster_50__taxvaluedollarcnt__mean,33485.9750856638,4226.0144316319165,3449.4,474.6159500058969,0.12620251973608854
geo_cluster_50__taxvaluedollarcnt__median,33462.35910662413,3972.938458702836,3893.2,577.9971453216702,0.11872858234657986
regionidcity__lotsizesquarefeet__mean,32566.241526818274,4737.126662987209,4202.8,684.4513861480596,0.14546126420774513
regionidcity,32398.025999057292,4446.241358184252,4194.6,653.4996556999859,0.13723803290707448
geo_cluster_50__lotsizesquarefeet__median,31842.94741792679,4349.296757175837,4056.4,623.8547907967045,0.13658587253533966
geo_cluster_50__lotsizesquarefeet__mean,31117.428159427644,4347.768449234089,4065.6,673.2899078405973,0.13972133001986053
regionidcity__bathroomcnt__mean,31003.686153578758,3551.288102608009,4013.4,558.4570708657918,0.11454406050349397
regionidcity__taxvaluedollarcnt__mean,30879.406677520274,4712.412372854281,3846.8,658.6339651126414,0.15260695977955163
regionidcity__taxvaluedollarcnt__median,30839.505260574817,4582.17147971483,3945.8,663.2399264218041,0.1485812253146352
regionidzip,30838.28099954724,3958.337763828428,3885.6,580.518130638484,0.12835792513484326
geo_cluster_50__calculatedfinishedsquarefeet__mean,29739.910628664493,3579.353539087593,3718.4,544.6928492278929,0.12035522176843626
y,29667.003382235765,4812.0135740774385,3892.6,722.615596288926,0.16220086377032575
te_propertycountylandusecode,29134.685344040394,4607.098728705751,3716.4,703.5746584407373,0.15813106180144718
geo_cluster_50__bathroomcnt__mean,28573.07637656927,3916.170530979077,3631.4,595.0263019396706,0.13705806400983397
regionidcity__calculatedfinishedsquarefeet__mean,28453.805836105348,3706.6285509376607,3635.4,553.6648805911389,0.13026828721214426
regionidcity__calculatedfinishedsquarefeet__median,27724.162049043178,3821.5919152854767,3611.4,599.9844164642946,0.13784336956780951
sin_month,27618.8415892601,8191.831043590901,3542.6,1039.4146429601615,0.29660299173349186
censustractandblock,26774.832096874714,3314.142082298123,3281.2,492.3913078030521,0.12377825826529563
geo_cluster_50__calculatedfinishedsquarefeet__median,26251.115521478652,3904.973846742219,3397.8,580.5903891729521,0.14875458696395905
propertycountylandusecode__bedroomcnt__mean,25861.813101363183,2930.538122932453,2915.2,374.3637268753478,0.11331526182813727
buildingqualitytypeid,24771.764909911155,5968.135037490623,3456.0,889.2257868505613,0.24092490216958137
geo_cluster_50,24338.623458194732,3558.149420429244,3169.6,519.8007310498899,0.1461935358233978
te_propertylandusetypeid,23610.108254897594,4631.549989696932,2600.6,433.1821787654705,0.19616809629554405
propertycountylandusecode__bathroomcnt__mean,22532.60736807585,3365.579632509258,2832.4,488.50926296233115,0.1493648550090173
propertycountylandusecode__taxvaluedollarcnt__mean,21501.66757565141,2964.480141589038,2850.0,471.9136573569364,0.1378721036941642
geo_grid,21141.834138917922,3058.4245807825673,2690.4,428.37518602272,0.1446622161863983
propertycountylandusecode__lotsizesquarefeet__mean,20699.875989699365,2732.911839828752,2765.4,472.35876195959355,0.13202551750490574
propertycountylandusecode__taxvaluedollarcnt__median,19631.733084511758,3050.160436548474,2667.8,505.8722170667213,0.1553688827887188
propertycountylandusecode__lotsizesquarefeet__median,18957.65382101536,1917.0224749572285,2490.4,305.49599015371706,0.10112129343933461
propertycountylandusecode__calculatedfinishedsquarefeet__median,17960.602259993553,2563.9144557238005,2130.4,390.2259601820463,0.14275214264019304
propertycountylandusecode__calculatedfinishedsquarefeet__mean,17800.470266389846,2365.0615910544716,2089.4,329.4204000968975,0.1328651184861537
rawcensustractandblock,17690.26497504711,2665.8300825304946,2229.0,384.6732379565805,0.15069475139514626
geo_cluster_20,16805.744369614124,2087.9658992603495,2184.4,322.1890749234058,0.12424120308733749
missing_frac,16349.763081741334,2770.7512860862557,2257.0,418.8239486944365,0.16946736611607596
lon,14632.472323715687,4326.022872553762,1918.0,578.8950682118478,0.29564538219145453
lat,13576.531990742684,1973.9492490774585,1768.6,257.62822050388814,0.14539421778860498
bedroomcnt,12701.846832752228,1717.272671717068,1596.4,243.54116695129798,0.13519866003167813
poolcnt,12071.733183765411,841.0950285307395,707.2,52.208236898022136,0.06967475305544225
calculatedbathnbr,11884.989945638179,1277.1255240135524,1270.8,184.8585946067967,0.10745701341389742
finishedsquarefeet15,11288.645764183999,2051.2930697910638,1631.6,370.3191866484911,0.18171294525845408
bathroomcnt,10639.470849096775,1833.4470036463606,1234.2,238.24084452503104,0.17232501781799472
finishedfloor1squarefeet,9700.86683909893,1892.0861116224846,1383.4,307.8072448789989,0.1950429938894287
heatingorsystemtypeid,9025.896409368515,1374.5346775363232,1206.0,212.17445652104308,0.15228788534600163
yardbuildingsqft17,8863.381574749947,1802.9177391957753,1312.2,283.8585915557252,0.2034119510695448
finishedsquarefeet50,7531.500890433788,1316.8926541852177,1056.2,212.36925389519075,0.17485129104294916
taxdelinquencyyear,6817.587580585479,947.1589165466373,777.2,129.17701033852734,0.13892874940726588
z,5186.776764535904,839.2711361797827,665.4,107.9597147087746,0.16180976631124783
non_null_count,5066.1996114254,864.50855021425,701.6,140.99929077835816,0.17064241769370592
assessmentyear,4907.584128594399,1049.1197224933198,595.2,141.3849355483108,0.21377518856547137
fullbathcnt,4790.779655122757,925.2213697317586,495.8,75.25091361571633,0.1931254276619658
airconditioningtypeid,4759.139446240663,632.5664328811315,653.6,96.36285591450681,0.13291613747092004
propertycountylandusecode,4748.784065723419,714.3478610434703,608.4,110.59972875192777,0.15042753074373447
roomcnt,4563.652088117599,902.5283100678382,632.8,148.75718470043725,0.1977644861263148
trans_qtr,4367.2585905075075,825.2222083753028,482.2,83.75977554888742,0.1889565711009378
poolcnt__isna,4326.103300714492,475.6072274411842,233.8,31.65754254518187,0.10993894375142042
numberofstories,3815.1354239940642,471.6595375709779,523.4,80.35732698391602,0.12362851777249924
garagecarcnt,3486.4367129206657,505.0474819659083,497.8,77.2314702695734,0.14486064814908692
fireplacecnt,3356.099359917641,269.1672225222192,469.4,51.51989906822411,0.08020239976685989
pooltypeid2,3280.2884602069853,114.72449815674372,262.2,35.30863916947239,0.034973905358663154
poolsizesum,2770.6933456420898,753.6149290917375,451.6,136.38658291782224,0.27199506949202723
hashottuborspa,2678.9989916324616,506.64005087477074,276.8,37.33229165213408,0.18911543171733555
regionidzip__bathroomcnt__median,2416.580438542366,245.99125230711638,317.4,31.580056998048626,0.1017931157526358
threequarterbathnbr,2255.312024497986,228.1076577036769,320.6,40.29640182448056,0.10114239414541337
propertylandusetypeid,2226.0696794986725,276.85348382575455,252.4,39.86602563587196,0.12436874118282783
taxdelinquencyflag,2065.1073912620545,441.3541180663238,176.6,38.24003138074026,0.2137196931896412
propertycountylandusecode__bathroomcnt__median,1971.2920847177506,574.1264168438016,222.2,62.96983404774067,0.29124370827222823
regionidzip__bedroomcnt__median,1791.4889089107514,223.2001092018435,230.4,36.76003264416396,0.1245891660787932
finishedsquarefeet6,1676.859674358368,426.3474351986796,302.8,80.75394727194454,0.254253496410947
data_quality_score,1636.4089399814607,317.8523622854927,216.8,44.05905128347636,0.19423773270705266
propertycountylandusecode__bedroomcnt__median,1589.4752331495285,214.95903669535963,135.4,7.668115805072325,0.1352389972557598
pooltypeid7,1498.2338280439376,203.0181219739278,176.4,29.988331063932183,0.1355049646940818
trans_year,1475.7398684978484,458.09498845936076,184.8,61.022127134343656,0.31041716649056195
regionidcity__bathroomcnt__median,1341.259740972519,260.1615054741372,174.0,35.88175023601831,0.19396802686671258
geo_cluster_50__bathroomcnt__median,1184.112086057663,194.02249595726053,153.8,27.671284755139215,0.16385483962214506
regionidcity__bedroomcnt__median,1009.5567528724671,208.63100409404817,125.2,25.635912310662945,0.20665604335602622
airconditioningtypeid__isna,995.4390182971954,156.15708475126755,135.6,24.480604567698077,0.156872577706289
pooltypeid2__isna,915.8840782642365,130.66055094388744,73.0,11.640446726822816,0.1426605768604318
hashottuborspa__isna,838.8418936729431,152.3500929879662,86.2,12.853015210447703,0.18161955683814468
unitcnt,738.0781991958618,205.98777131799181,89.0,27.486360253769504,0.2790866490022672
threequarterbathnbr__isna,651.8272679567337,151.37167530316358,92.4,21.337759957408835,0.23222666915322862
fireplacecnt__isna,514.4374402046203,126.8473761712301,72.0,21.059439688652688,0.2465749307016031
taxdelinquencyflag__isna,476.1501714706421,96.72067314366679,39.2,8.105553651663778,0.20313060655402698
pooltypeid7__isna,449.5362145423889,116.1995730296368,49.2,13.627178724886527,0.2584876796752376
geo_cluster_50__bedroomcnt__median,394.31841695308685,135.4879768621773,49.0,15.443445211480501,0.34360042806435964
regionidneighborhood__isna,356.2190902709961,75.05954185122958,48.6,9.633275663033837,0.2107117330293006
heatingorsystemtypeid__isna,339.0409096717834,105.81393870377134,42.6,14.310835055998654,0.31209784920376143
pooltypeid10,311.6110176563263,31.95151267481591,50.2,5.805170109479997,0.10253653068528422
decktypeid,304.3467746257782,90.88299453893235,50.6,15.662056059151366,0.298616585136133
fireplaceflag,247.24064660072327,161.6853656296341,44.6,27.763285108214408,0.6539594837907268
yardbuildingsqft17__isna,212.27919471263885,108.99307408082969,28.2,10.425929215182693,0.5134420931982456
taxdelinquencyyear__isna,174.94350061416625,48.82845220893062,14.2,4.604345773288536,0.279109838517691
finishedsquarefeet12__isna,161.02073802948,49.02665029680427,15.8,3.3466401061363023,0.304474137267857
numberofstories__isna,121.4095504283905,23.76425719583108,15.8,2.588435821108957,0.1957363083054187
lotsizesquarefeet__isna,116.11753578186035,26.91731357478684,15.4,3.0495901363953815,0.23181092667205652
architecturalstyletypeid,101.174476480484,63.88281487569877,19.2,10.709808588392232,0.6314123590420286
decktypeid__isna,99.46826639175416,32.9805948136232,16.8,5.449770637375485,0.331569011974271
pooltypeid10__isna,98.8866057395935,18.967495865594064,15.2,3.271085446759225,0.19181056647474257
typeconstructiontypeid,97.4613760471344,82.09399121390669,18.8,16.17714437099453,0.8423233339716142
fireplaceflag__isna,79.95385990142822,62.46793460755975,14.2,10.802777420645118,0.7812997981180755
censustractandblock__isna,77.68261184692383,58.17614328555888,11.4,7.231873892705818,0.7488953048168354
poolsizesum__isna,69.10670380592346,22.618479169825115,9.0,2.345207879911715,0.3272979019527973
finishedsquarefeet15__isna,60.56371593475342,27.425439245564796,7.2,2.4899799195977463,0.452836138234689
finishedsquarefeet6__isna,45.98642821311951,29.313168501024705,8.4,5.366563145999495,0.6374308602268792
garagecarcnt__isna,33.99144592285156,10.725410323642837,4.2,1.4832396974191326,0.31553262973367946
buildingqualitytypeid__isna,31.874442291259765,23.243687127949197,4.6,3.5777087639996634,0.7292264726787249
typeconstructiontypeid__isna,26.416073989868163,27.698814241948185,4.2,4.207136793592526,1.0485590796757467
regionidcounty,25.154551887512206,21.023079521964068,2.4,1.8165902124584952,0.835756470940882
structuretaxvaluedollarcnt__isna,21.95284786224365,16.292924401898503,3.2,1.7888543819998317,0.7421781673483311
architecturalstyletypeid__isna,15.477049922943115,12.84474535280075,2.8,2.04939015319192,0.8299220722587792
yearbuilt__isna,13.361579990386963,4.8654803563213385,2.6,1.140175425099138,0.3641395969773357
unitcnt__isna,10.887629985809326,10.318695111347562,1.6,1.3416407864998738,0.9477448366007342
calculatedbathnbr__isna,8.30781397819519,7.419265934457654,1.6,1.3416407864998738,0.893046708195429
garagetotalsqft__isna,7.177716064453125,4.963019873047943,1.2,1.0954451150103324,0.691448341166947
propertyzoningdesc__isna,5.256623935699463,5.947423952987545,0.8,0.8366600265340756,1.131415146760353
fips,4.875191879272461,4.704498584266704,0.8,0.8366600265340756,0.964987366880603
finishedfloor1squarefeet__isna,4.133135986328125,5.754775217675846,0.4,0.5477225575051662,1.3923508016161055
calculatedfinishedsquarefeet__isna,2.0314419746398924,2.8109593077443225,0.4,0.5477225575051662,1.383726106380839
yardbuildingsqft26,1.7604499816894532,3.936485830045877,0.4,0.894427190999916,2.2360679647981057
finishedsquarefeet50__isna,1.2043000221252442,2.692896714776547,0.2,0.44721359549995804,2.2360679589324235
fullbathcnt__isna,1.060122013092041,2.3705048857177258,0.2,0.44721359549995804,2.236067956407237
yardbuildingsqft26__isna,0.687798023223877,1.5379631347185678,0.2,0.44721359549995804,2.2360679449892578
finishedsquarefeet13__isna,0.0,0.0,0.0,0.0,0.0
regionidzip__isna,0.0,0.0,0.0,0.0,0.0
basementsqft,0.0,0.0,0.0,0.0,0.0
buildingclasstypeid,0.0,0.0,0.0,0.0,0.0
taxamount__isna,0.0,0.0,0.0,0.0,0.0
finishedsquarefeet13,0.0,0.0,0.0,0.0,0.0
landtaxvaluedollarcnt__isna,0.0,0.0,0.0,0.0,0.0
assessmentyear__isna,0.0,0.0,0.0,0.0,0.0
taxvaluedollarcnt__isna,0.0,0.0,0.0,0.0,0.0
storytypeid,0.0,0.0,0.0,0.0,0.0
roomcnt__isna,0.0,0.0,0.0,0.0,0.0
regionidcounty__isna,0.0,0.0,0.0,0.0,0.0
fips__isna,0.0,0.0,0.0,0.0,0.0
regionidcity__isna,0.0,0.0,0.0,0.0,0.0
rawcensustractandblock__isna,0.0,0.0,0.0,0.0,0.0
propertylandusetypeid__isna,0.0,0.0,0.0,0.0,0.0
propertycountylandusecode__isna,0.0,0.0,0.0,0.0,0.0
basementsqft__isna,0.0,0.0,0.0,0.0,0.0
bathroomcnt__isna,0.0,0.0,0.0,0.0,0.0
bedroomcnt__isna,0.0,0.0,0.0,0.0,0.0
buildingclasstypeid__isna,0.0,0.0,0.0,0.0,0.0
longitude__isna,0.0,0.0,0.0,0.0,0.0
latitude__isna,0.0,0.0,0.0,0.0,0.0
storytypeid__isna,0.0,0.0,0.0,0.0,0.0
